dataset,sample_ratio,model,method,max_auc
DD,0.6,diff_pool,forest_fire,0.8632817135398125
DD,0.4,diff_pool,forest_fire,0.8408933586487877
DD,0.6,mincut_pool,forest_fire,0.920162374906056
DD,0.4,mincut_pool,forest_fire,0.8342381630473479
ENZYMES,0.2,diff_pool,random_walk,0.7895524691358025
ENZYMES,0.2,diff_pool,random_walk,0.7494907407407406
DD,0.2,diff_pool,snow_ball,0.8261144733198844
ENZYMES,0.6,diff_pool,random_walk,0.8419290123456791
DD,0.2,mean_pool,random_walk,0.9318460503935762
DD,0.4,mean_pool,forest_fire,0.980785965745026
DD,0.6,diff_pool,snow_ball,0.8751878881373363
DD,0.8,diff_pool,forest_fire,0.8916973220996004
DD,0.6,mincut_pool,snow_ball,0.9074898144851865
DD,0.8,mean_pool,random_walk,0.9899628179265061
DD,0.6,mean_pool,snow_ball,0.9846722835330881
DD,0.2,mincut_pool,forest_fire,0.9162612238439936
DD,0.8,diff_pool,snow_ball,0.878288042403386
DD,0.2,mincut_pool,snow_ball,0.8338623867726751
DD,0.4,mean_pool,random_walk,0.9683062378861595
DD,0.6,mean_pool,forest_fire,0.9776314228076421
DD,0.6,mean_pool,random_walk,0.9904572603931807
DD,0.8,mincut_pool,snow_ball,0.9067926506071753
ENZYMES,0.8,diff_pool,random_walk,0
ENZYMES,0.8,diff_pool,random_walk,0.8710030864197531
DD,0.8,mincut_pool,forest_fire,0.9208150389620663
DD,0.2,mean_pool,forest_fire,0.9506645306752106
DD,0.8,mean_pool,snow_ball,0.9897254855425023
ENZYMES,0.4,diff_pool,random_walk,0.6000308641975308
ENZYMES,0.4,diff_pool,random_walk,0.8493518518518518
DD,0.2,diff_pool,forest_fire,0.8188906688817689
ENZYMES,0.2,mean_pool,random_walk,0
DD,0.4,mean_pool,snow_ball,0.970709228274198
DD,0.2,mean_pool,snow_ball,0.9483208733831731
DD,0.4,mincut_pool,snow_ball,0.8373877615600649
DD,0.4,diff_pool,snow_ball,0.8359143230093746
DD,0.8,mean_pool,forest_fire,0.9853051698904315
