dataset_name,target_model,sample_node_ratio,sample_method,attack_auc
DD,mean_pool,0.6,snow_ball,0.7096086882411669
DD,diff_pool,0.6,snow_ball,0.7227335817079407
AIDS,mean_pool,0.2,snow_ball,0.5005263888888889
DD,mincut_pool,0.6,forest_fire,0.6708671195850683
DD,mincut_pool,0.4,random_walk,0.7006193131549258
AIDS,mincut_pool,0.8,forest_fire,0.6503097222222223
DD,mincut_pool,0.4,forest_fire,0.6368373633330899
DD,diff_pool,0.2,snow_ball,0.6103440718825335
DD,mean_pool,0.8,snow_ball,0.8044212303471563
AIDS,diff_pool,0.4,forest_fire,0.5101541666666667
AIDS,diff_pool,0.8,snow_ball,0.6237861111111112
AIDS,mincut_pool,0.4,random_walk,0.5575333333333333
AIDS,diff_pool,0.8,random_walk,0.6093708333333333
AIDS,mincut_pool,0.2,snow_ball,0.5068180555555555
AIDS,diff_pool,0.6,forest_fire,0.5287347222222223
DD,diff_pool,0.4,random_walk,0.6387042312968239
DD,mean_pool,0.6,random_walk,0.7016217400832786
AIDS,diff_pool,0.2,random_walk,0.5245888888888889
DD,mean_pool,0.8,random_walk,0.8040113310768581
DD,mean_pool,0.2,random_walk,0.6105185834530564
AIDS,mincut_pool,0.2,forest_fire,0.5131722222222223
DD,diff_pool,0.8,forest_fire,0.7759027929968101
AIDS,diff_pool,0.4,snow_ball,0.5614736111111112
AIDS,diff_pool,0.6,snow_ball,0.5955152777777778
DD,mincut_pool,0.2,snow_ball,0.6280712007207734
AIDS,diff_pool,0.2,snow_ball,0.5061625000000001
DD,diff_pool,0.4,snow_ball,0.6414030730270046
AIDS,mean_pool,0.4,snow_ball,0.6005472222222223
AIDS,mincut_pool,0.4,snow_ball,0.5286513888888889
AIDS,mean_pool,0.8,random_walk,0.6324486111111112
DD,mincut_pool,0.2,forest_fire,0.5947597827939708
DD,mincut_pool,0.4,snow_ball,0.638310565660993
DD,mean_pool,0.2,snow_ball,0.6323325297684272
DD,diff_pool,0.6,random_walk,0.6952662721893491
DD,mean_pool,0.4,random_walk,0.7248155453283658
DD,diff_pool,0.2,forest_fire,0.5279096760578242
DD,diff_pool,0.4,forest_fire,0.6185826413746642
DD,mean_pool,0.8,forest_fire,0.7772339510231248
DD,mincut_pool,0.2,random_walk,0.5602105502390402
AIDS,mincut_pool,0.8,snow_ball,0.6553986111111112
DD,diff_pool,0.2,random_walk,0.6188464379347571
DD,mincut_pool,0.8,forest_fire,0.7657121289599922
AIDS,diff_pool,0.4,random_walk,0.5195736111111111
DD,diff_pool,0.8,random_walk,0.796844181459566
DD,mincut_pool,0.6,random_walk,0.7291012248277207
AIDS,mean_pool,0.6,random_walk,0.5677055555555556
DD,mincut_pool,0.8,random_walk,0.8073351677340281
DD,mincut_pool,0.8,snow_ball,0.8025259535231045
DD,mean_pool,0.4,snow_ball,0.622888612917103
AIDS,mincut_pool,0.6,random_walk,0.6371347222222222
AIDS,mean_pool,0.4,random_walk,0.5562652777777777
DD,diff_pool,0.6,forest_fire,0.6702583582925463
AIDS,mincut_pool,0.6,forest_fire,0.5591208333333333
AIDS,mean_pool,0.6,forest_fire,0.5959930555555556
AIDS,diff_pool,0.6,random_walk,0.5608680555555555
DD,diff_pool,0.8,snow_ball,0.7957240606813256
AIDS,mean_pool,0.4,forest_fire,0.5031541666666667
AIDS,mean_pool,0.6,snow_ball,0.5796527777777778
AIDS,mean_pool,0.2,forest_fire,0.49730277777777776
AIDS,mincut_pool,0.2,random_walk,0.5079083333333333
DD,mean_pool,0.6,forest_fire,0.6234567901234569
AIDS,mincut_pool,0.8,random_walk,0.6503527777777778
AIDS,diff_pool,0.8,forest_fire,0.6063277777777778
DD,mean_pool,0.2,forest_fire,0.5896218374850852
AIDS,mincut_pool,0.6,snow_ball,0.5449944444444443
AIDS,diff_pool,0.2,forest_fire,0.5137458333333333
AIDS,mean_pool,0.2,random_walk,0.5169847222222222
AIDS,mincut_pool,0.4,forest_fire,0.526175
DD,mincut_pool,0.6,snow_ball,0.7122628874765626
DD,mean_pool,0.4,forest_fire,0.5935909611123287
